userid,label
1703942,-1
196622,-1
3244046,23
8749076,-1
33,-1
131106,-1
3178530,-1
1277989,11
32806,-1
98343,-1
41,-1
46,-1
2621488,-1
1376305,-1
2293812,-1
5603383,-1
819256,-1
4456508,-1
61,-1
327742,-1
4784193,-1
1376325,-1
65607,-1
3113037,-1
1507417,-1
131168,-1
753773,-1
7503981,-1
98419,-1
163957,-1
6193272,-1
2621572,-1
4751493,-1
136,-1
688265,-1
7274636,-1
143,-1
131217,-1
1736852,-1
1048728,-1
327838,-1
3014821,-1
32938,-1
1376430,24
1114289,-1
491707,-1
655548,-1
3178699,1
360660,-1
1245398,-1
295127,-1
216,-1
221,-1
819422,-1
229604,-1
229,-1
3539173,-1
393447,-1
426219,-1
1671419,-1
360704,-1
3309845,-1
278,-1
950566,-1
196919,-1
5505342,-1
6029632,-1
5177666,-1
6816070,30
229707,-1
131406,-1
1343828,-1
2261338,-1
4948316,37
65890,-1
2326888,-1
4030827,-1
164205,-1
5243250,-1
426360,-1
379,-1
380,-1
164225,-1
388,-1
389,-1
33158,11
2654596,-1
786825,-1
393610,-1
1573259,-1
557452,-1
1769868,-1
590223,-1
1245584,38
786837,39
3932568,-1
410,-1
1114524,-1
754082,-1
33190,-1
426407,-1
3965355,-1
33197,-1
432,-1
3441078,-1
655807,25
5702082,-1
2982340,-1
1638856,-1
295370,-1
360906,-1
65998,-1
950734,-1
1049042,-1
11010522,-1
476,-1
1540576,-1
819684,-1
33253,-1
1573348,-1
557547,40
786923,31
1901035,-1
1343984,0
360947,-1
2163190,-1
516,-1
1049102,-1
1049104,-1
33301,-1
6554144,-1
1540652,-1
3211822,31
197169,-1
262708,-1
1671746,0
688710,12
585,41
66127,-1
229968,-1
606,-1
950883,-1
197221,-1
229991,-1
393833,-1
1180266,-1
5079674,-1
638,1
639,-1
640,-1
1737342,-1
1540738,-1
590467,-1
1049222,-1
393866,-1
1704591,74
661,-1
668,-1
677,-1
680,-1
681,-1
197288,-1
98987,-1
686,-1
693,-1
697,-1
197305,-1
1180346,-1
725,42
66270,-1
4358883,43
743,18
1901293,26
756,-1
759,-1
131832,-1
761,-1
4457209,-1
459520,-1
771,-1
66310,-1
295689,-1
393997,-1
2622230,-1
791,-1
197431,37
824,-1
66361,-1
2949944,25
1901376,-1
839,-1
6488905,-1
3539787,6
1409874,44
820051,-1
66389,-1
230231,-1
33631,-1
99169,-1
99174,-1
1639271,0
873,-1
1475439,-1
3441526,-1
1573764,74
1934213,-1
1868680,-1
908,-1
328591,-1
2655124,-1
923,-1
99228,-1
295840,-1
937,-1
1573813,-1
1147837,-1
263103,5
1442751,-1
1868748,-1
4064208,9
33746,-1
230362,-1
3081183,-1
3212255,-1
3343327,-1
33762,-1
721890,-1
7209955,-1
1311720,-1
1475560,-1
1344494,7
525301,-1
689146,-1
7242752,-1
1541152,-1
1770530,-1
164902,-1
1311782,-1
2032684,-1
427054,-1
558138,-1
1311813,-1
1097,-1
1377355,-1
2819158,-1
66648,-1
6816857,-1
2524251,45
459874,-1
1016938,-1
66683,-1
5964935,-1
6849677,-1
33936,-1
1169,-1
3409041,-1
1174,-1
1192,46
1202,-1
1017011,-1
394423,-1
4687033,-1
2491583,-1
722112,-1
459975,-1
492743,-1
1228,-1
1901773,-1
787663,27
656593,-1
328914,-1
1246419,-1
2229463,0
5375192,-1
1410269,-1
66786,-1
1256,-1
1148137,-1
820468,-1
1274,-1
361723,-1
1148154,-1
3343616,-1
1293,-1
66838,-1
1869090,-1
3507496,-1
99635,-1
1334,-1
1336,-1
361784,-1
4457790,-1
361793,-1
66885,-1
1738060,-1
7472480,-1
1344868,-1
66919,18
525672,-1
1181045,-1
99702,-1
3310978,-1
1426,7
1312147,47
7570836,-1
361883,-1
4752797,0
394654,-1
4031902,-1
2164134,-1
394668,-1
492982,-1
525753,1
1115578,-1
4523451,-1
460224,-1
34249,-1
34261,-1
1495,-1
1934809,-1
2524633,8
1148380,-1
5506530,-1
1509,-1
7636463,-1
591349,-1
755195,-1
2524671,48
558593,-1
1550,-1
1050126,-1
722448,-1
1639950,-1
1738254,-1
4916756,49
3802646,-1
1559,-1
984605,-1
1148451,-1
362026,-1
2819633,-1
5473852,-1
4392513,-1
34370,-1
4130396,50
2033253,-1
624230,1
3737190,-1
951915,-1
67190,-1
2852470,-1
34425,-1
1017467,-1
263813,-1
362125,-1
1690,-1
558748,-1
2426531,-1
4261539,-1
3114676,4
1727,-1
362181,-1
722629,-1
1747,-1
7210725,-1
1738483,-1
1050356,-1
395004,-1
8128252,-1
6162175,3
853760,-1
329481,-1
34580,-1
132887,-1
526105,-1
1181469,-1
722718,-1
2098975,-1
1083168,-1
5506854,-1
362282,-1
100140,-1
132908,-1
1847,-1
100151,-1
624445,0
1738563,-1
2885445,-1
296777,-1
2066257,-1
2295637,-1
1279842,-1
1509240,-1
2819967,-1
2393990,-1
1050507,-1
1705868,-1
133005,-1
1942,-1
9930647,-1
198556,-1
853919,-1
7473056,-1
1968,-1
133043,-1
198580,-1
1973,-1
34741,51
1607609,-1
3311552,14
559041,-1
493509,-1
919498,-1
198609,-1
231382,-1
6391774,30
34783,32
231397,-1
2031,0
100346,-1
2492411,49
1837066,-1
329753,-1
526362,-1
1083424,-1
1771560,-1
3573801,-1
7505964,-1
198701,-1
34864,-1
2099,8
4720707,1
1509454,-1
2131,-1
4032600,-1
6031448,-1
1411188,-1
591997,-1
3213438,5
2181,-1
1706118,4
2263173,-1
100490,-1
2187,-1
1050773,-1
1542293,8
821403,-1
1804447,-1
166048,-1
559270,-1
985254,-1
297128,-1
8390822,-1
297130,-1
1050794,-1
985270,-1
3967161,10
231616,-1
198849,-1
166083,-1
5703878,52
198857,8
690377,-1
2252,-1
1837265,-1
3606742,-1
100571,-1
100581,53
362725,-1
985322,18
2285,-1
461037,-1
100591,-1
362739,-1
362752,-1
395521,-1
1804545,-1
1181965,-1
624925,3
4262179,-1
35110,-1
2296102,5
6195505,-1
231730,-1
395572,-1
3049802,-1
5835092,0
3344731,-1
2399,-1
2230623,-1
2401,-1
330081,0
723303,-1
1050985,-1
2656623,-1
100726,-1
3672439,-1
559503,-1
7965072,-1
2066836,-1
3443095,-1
35227,-1
2001314,-1
2853286,-1
1903017,-1
625067,-1
133552,-1
3967417,-1
297406,-1
7211454,2
3213766,-1
100832,-1
199148,-1
133619,-1
985589,-1
3049974,15
199161,-1
133628,-1
1870332,-1
2565,-1
2296342,-1
821784,-1
199195,-1
2588,-1
166428,-1
199197,-1
1215013,-1
8325669,-1
35368,-1
6654505,-1
199214,-1
1083953,-1
2198069,-1
2755130,-1
3050054,-1
2493023,-1
330349,-1
35438,-1
1903214,-1
199286,-1
2951798,-1
4590210,0
2067090,-1
1149595,-1
985758,-1
68255,-1
952992,-1
297634,-1
